id,name,description,property_type,room_type,price,weekly_price
11,Ballard private room,"Newly remodeled room with outdoor patio space and private entrance. We're conveniently located near Downtown Ballard with a Walk-score of 91, blocks from the best local shops and restaurants. • Free high speed Wi-Fi • Private bathroom with shower • 32in HD wi-fi enabled TV, you can access Netflix, Youtube, Hulu, Amazon, etc. • Microwave • Mini fridge/freezer • Electric kettle • Complimentary bottled water, coffee, hot chocolate, popcorn & tea • Basic utensils, cups, plates, napkins • Ironing board, iron and hair dryer • Patio with table and chairs • All the towels and linens are brand new This 130 sq. ft. room has a new hypoallergenic super comfortable memory foam queen bed, bathroom with shower and a generous walk-in closet. We designed and remodeled this studio just for rental, we hope you enjoy your stay! We live 10 blocks away from the studio. Feel free to call if you need anything. The townhouse upstairs has friendly, quite renters. A 5 minute walk to 4 bus lines bus",Townhouse,Entire home/apt,85.00,525.00
12,Private 1BR apartment,"This is a bright 1BR apartment upstairs in a house in the popular Ballard neighborhood. It has two separate rooms and a small kitchen. Walking distance to lots of restaurants, stores, bars, big grocery store, bus to downtown Seattle and more! Perfect for longer stays! This is your own apartment for your visit! It's a bedroom with a queen futon, living room, kitchen and bathroom with a shower. It has 2 closets, should be plenty of room to store your stuff. I live downstairs, and we can have little or more contact, as you wish. I have a small dog, who doesn't have access to your space, but may bark behind my door when you enter or leave. There are slightly steep stairs to get up to the apartment. The kitchen is equipped with all the basics you need if you want to make your own meals, there is a coffeemaker, coffee and tea are provided. The comfortable living room has a sofa, lots of sunlight (if you're here in the sunny months) and a big window with a view of the neighborhood.",House,Entire home/apt,80.00,530.00
13,Gorgeous Private Room,"Heart of Ballard new townhome. Cozy room with full size bed. Lots of light. Large well-stocked kitchen, plenty of space in common areas. Shared full bath with master bedroom , extra shared 1/2 bathroom available on floor below. Lot of street parking. It's a beautiful brand new townhouse. The living room and kitchen pictures in the listing are with staged furniture. I have other furniture that is acceptable, but not as fancy looking. The house is slowly being updated with newer, more modern furniture, so please keep that in mind when you book. Free Amazon Video available on TV. Extra queen air mattress available for extra guests. There are 2 people staying on the first floor that will share the common areas. They are friendly and will just keep to themselves. I only rent one room at a time, so if you rent this, I will be marking all my other listings as unavailable. I can provide additional services - Breakfast - 8$ per person Pickup from airport - 1 person only (25$) Private parking.",House,Private room,35.00,
14,Large room in Ballard ,"Great room available in Ballard neighborhood in Seattle. Private room with Queen bed, very clean. Apartment has kitchen, large bathroom, wifi, cable TV, use of laptop. One block to buses, 10 minutes to downtown. Shops and grocery stores 2 blocks. This is your own private bedroom in an apartment in the neighborhood of Ballard, not far from downtown Seattle. Buses one block away, ten minutes to downtown Seattle. Parks, beaches, stores, cafes, cinema, cultural arts are VERY close, you can walk or bus to everything! Grocery and all kinds of stores within 5 minute walk. Includes Wifi, cable tv, use of kitchen, and a cat :). Two night minimum please. Guests will have access to free WiFi, fully stocked kitchen (both cooking utensils and serving dishes), a clean full-size bathroom with tub, plus guests can use the living room (has cable TV) and dining room. I will not do your dishes, though:) I'll interact as much (or as little) with my guests as they would like.",Apartment,Private room,65.00,
15,Cozy 1BD in Storybook Home,"Enjoy the comfort and quirks of Ballard in a cozy and clean 1bd garden apartment on a block of storybook brick homes. Easy walk to restaurants and activities. Quick commute by car, bus or bike to downtown, South Lake Union, or UW. This is a modest but clean basement apartment in a family-occupied home. The space includes one bedroom, small and open living room and kitchen with eating space for two, and 3/4 bath. There is off-street parking from the alley and room for bike storage in the garage. Guests are welcome to use the backyard deck and patio -- especially nice on summer evenings to take in the sunset views! We are in and out of the house a lot with work, school, and kid activities--but we are always available by text if you need anything! Ballard is such a fabulous neighborhood! Our house is close enough to enjoy Ballard's shops, restaurants, and easy bus commutes to everywhere---yet its quiet street of single-family homes makes it removed enough for peaceful evenings.",Apartment,Entire home/apt,70.00,400.00
16,Private garden room,"Women Only: This cozy room with ensuite bathroom and kitchenette, opens onto a private Northwest garden. House is located on a quiet street, 1 block from major bus lines, 8 blocks from Ballard's hip downtown. 12 minute drive from downtown Seattle. There is a private bathroom in the room and an adjacent kitchenette (microwave, Keurig coffee/tea maker, and small frig) just for you. There is wi-fi throughout the house. The bed (twin XL) is brand new! Sealy Posturepedic with pillow top--this is one darned comfortable bed made up with Egyptian linens and Scandia down comforter or fine blanket, depending on the season. I am an author and work at home. I have a small, very affectionate dog named Louis. He is a Bichon Frise (they are hair, not fur) so he is hypoallergenic. There is easy, free, safe, on-street parking 24 hours a day. Women Only: As a chef, I am often recipe-testing in the kitchen on the 2nd floor. So I ask guests to limit their food preparation.",House,Private room,75.00,490.00
17,Private bed/bath,"Private, sunny bedroom and bathroom in upstairs of Ballard Craftsman. Quiet but hip neighborhood with easy access to Seattle's best places. This is a quiet, roomy, clean and sunny upstairs space in classic Ballard craftsman house. Skylights, new carpet, desk for working, closet and dresser and queen pillowtop bed. Very private for being in a shared house. Linens and towels provided. You will have entire second floor to yourself, as well as use of back porch. I live on main floor which is not a shared space. Light use of kitchen is fine (making coffee/tea or storing things in fridge). Washer and dryer in basement available if needed. I prefer to meet guests in person at check-in if possible. I'm happy to answer questions, and provide directions or suggestions if needed. I also have a busy lifestyle, so we may not see each other much. Ballard has plenty to offer on it's own (house is walking distance to foodie restaurants, coffee shops, dive bars).",House,Private room,80.00,
18,Private queen room in home,"Our guest bedroom doesn't have enough guests! Come visit us and enjoy all that Capitol Hill has to offer. We have a guest room available in our family home. It has a queen sized bed, two side tables, a dresser and small (but deep) closet. The bathroom is shared with our two children who use it mainly at bedtime (7pm). Our children wake at 6am all days so you'll be disturbed for a short period until we make our way downstairs. Living space, shared bathroom, kitchen. We're pretty busy throughout the week as we're working full time and trying to manage two kids, but we'd be happy to direct you to interesting places in the neighbourhood! Parking is available on the street in front of the house. Two bus lines are nearby (#10 - a 15-minute walk, and #49 - a 10-minute walk) both going to downtown and #49 also going to the University of Washington.",House,Private room,100.00,
19,Retro Flat,"Turn right & a 10 minute walk takes you to dinner at one of the great Fremont cafes. Hang a louie & in 1.7 miles you'll be at the base of the Space Needle. All of Seattle is easily accessible on foot, bus or Uber from our place. This is a vintage flat in a classic building in Upper Queen Anne, Seattle. That's a nice way of saying it's an old apartment. It has brand new carpet and new paint. However, there is a slight smoker smell when you first enter, open up the windows and it dissipates. We want anyone who is highly sensitive to be aware before booking. We are not smokers and have stayed here many nights, our feeling is that we don't notice it after 15 minutes. The apartment may be old, but everything in it is brand new and clean. The best part of our place is how close you are to everything you want to see and do. Whether you are in town for business or vacation this spot is central to multiple destinations.",Apartment,Entire home/apt,145.00,715.00
20,Super Charming Apt,"Look no further for your cozy home away from home while visiting Seattle. This apartment offers you comfort at it's finest and located on Queen Anne, a neighborhood that is known as the best neighborhood to live in, in Seattle. One Queen Bed & bunkbed Located in what's known as the best neighborhood in Seattle, this Queen Anne apartment will be your cozy pied-a-terre during your visit. Just minutes from downtown, yet set in a quiet neighborhood with everything you will need to make your stay perfect. The light filled apartment has a view overlooking the Seattle Skyline and 5 minute walk to Kerry Park overlooking the city and Puget Sound, the postcard photos of Seattle are taken there. One bedroom with a Queen size thick memory foam mattress, and a twin bunkbed room. One bathroom with bathtub. 800 Sq. Ft. Internet, cable TV, 1 bedroom with Queen Bed, 1 Bunkbed room with 2 Twin Beds and 1 Bathroom. Washer and dryer in the building. Kitchen fully stocked with a chef's sensibility.",Apartment,Entire home/apt,165.00,
21,Remodeled Historic House,"This landmark historic Spanish-mission home is just a short walk, bike ride, or bus ride from South Lake Union, Fremont, Queen Anne. Fully renovated in 2015, it features 3 bedrooms, 2 baths, a chefs kitchen, dining space for 8, and historic charm! This light and bright Seattle Spanish-mission style home was built in 1905 and lovingly remodeled in 2015 with all the character of an old house preserved. It's within walking distance to South Lake Union, Fremont, and Queen Anne parks, shops, restaurants, and the Seattle Center. It's also located on a major bike route and on the 26 and 28 bus routes. This rental is for the main-floor of the house, including a private back yard. The home features a light-filled living room with TV, separate dining room with seating for 8, and a chef's kitchen with high-end appliances. There are three bedrooms, one with a full-sized bed, one with a twin-sized bed (plus a pack and play is available), and a quiet master bedroom with a queen-sized mattress.",House,Entire home/apt,196.00,
22,Apt on Lake Union,"Cookbook authors rad, little 1 bedroom apt overlooking Lake Union. Amazing east-facing sunrise view of mountains & lake. Full herb garden (while it lasts) & well-appointed kitchen for cooking & baking during your stay and a well-stocked urban pantry! Rad little one bedroom apt overlooking Lake Union. Amazing east-facing sunrise view of mountains & lake. Full herb garden (while it lasts) & well-appointed kitchen for cooking & baking during your stay. Well-stocked urban pantry full of handmade preserves, too! Everything in the pantry is whole food, organic and handmade and you're welcome to cook something up for yourself whilst here - no need to go grocery shopping for basics during your stay. Queen bed with organic cotton sheets. Apartment has wifi, HBO, Apple TV + local cable TV & a small desk with monitor.",Apartment,Entire home/apt,110.00,692.00
23,1905 Craftsman Home!,"This family home is located in an ideal city neighborhood steps to the Space Needle, restaurants and downtown. Walk, bike or bus to anywhere in Seattle and come home to the complete comfort of our family home; blocks to coffee, parks and much more! Old world charm with modern touches! Charming old homes, parks, views of Seattle skyline, walking to restaurants, shops and downtown. Buses, biking, walking Guest access to everything. Interaction with guests is as much as needed. Charming old homes, parks, views of Seattle skyline, walking to restaurants, shops and downtown. Buses, biking, walking",House,Entire home/apt,499.00,
24,Secret Bungalow,"This light and airy bungalow is accessed through a secret garden path. Downstairs are the kitchen and dining area with an adjoining personal gym. The loft area is cozy, nestled among our 9 birch trees which provide a tree house like experience! This light filled space is set among our stand of 9 birch trees and surrounding garden! The sleeping loft upstairs has a four 6' tall windows that look out over the grape arbor and into the birch trees, so it feels almost like a tree house. You have private access to the bungalow and shared access to our two outdoor patios - one in the grape arbor with fountain, the other between the bungalow and main house. Both have outdoor teak tables and chairs for your use. We are a busy household, but are available for any advice about the neighborhood or questions you might have about the bungalow! We want you to be able to make the most of your time here! Queen Anne is a beautiful, safe neighborhood close to everything!",Bungalow,Entire home/apt,156.00,1040.00
25,Best Location Ever!,"Best central Seattle Location. Right in the heart of Lower Queen Anne. Across the street from the Seattle Center and only blocks away from the Space Needle! Walk to Pike Place Market! Wrap around private outdoor patio with view of Space Needle. Surrounded by many restaurants, bars and grocery stores! Finding a two bedroom, two bath apartment that includes a private patio with a view of the space needle is something hard to find right in the heart of downtown. Direct Tv, wifi internet, any appliances in the kitchen such as stove, microwave, coffee Kerig, kettle, cooking utensils, and refrigerator. I will be out of town most of the dates that are available for booking, but will be just a phone call or text away if there's anything you need to know or need help with. I'll leave a cheat sheet in the kitchen of important information such as wifi code and how to lock up and where to leave key the after your stay and other small check out requirements when leaving the apartment.",Apartment,Entire home/apt,180.00,
26,Airy Craftsman,"Our house is perfect for anyone visiting Seattle without a car. Enjoy a quick commute to downtown via bus or a 20 minute walk to the University of Washington. Wake up in the morning to run, bike, or swim Green Lake and then come grill with us in the backyard! The Latona House is comfortable, quiet, and convenient to everything! We have 2 rooms that are available for air B and B guests: the lavender room downstairs has wood floors and one queen bed. The teal room upstairs has carpet and one queen and one twin bed. A sit-on-top kayak and two bikes Someone is always around for a chat, to give directions, or to share a meal! We are in the middle of a great area: the UW, the shops and cafes of Wallingford, and swimming or walking around Green Lake. For those in search of nightlife, downtown and Capitol Hill are a 15 minute drive away. 26 and 16 buses to Northgate, Fremont and downtown Seattle are only a few blocks away!",House,Private room,74.00,420.00
27,Modern Cozy Bedroom,"This comfy cozy bedroom with modern touches is the perfect spot to unwind at the end of a work day or spend time on a weekend trip! It comfortably fits two people. You'll love taking a walk to greenlake or nearby shops and being seconds from I-5! Our large home in the Wallingford neighborhood is very cozy. Filled with sentimental knick-knacks, handcrafted furniture, and some modern touches, you'll feel right at home. With large windows in the front room, there is a ton of light in the common spaces! Our Weimaraner (think gray lab with eeyore's personality) Franklin may or may not greet you when you get home, and you can be sure to find him napping most of his days away. Because this house is across the bridge from downtown, the parking on the street is free and easy to find any time of day! Our guest bedroom is on the 1st floor and right next door to the bathroom. In the basement you will find a washer and dryer that is not coin operated - so feel free to do your laundry!",House,Private room,80.00,400.00
28,Wallingford Craftsman Apt,"This is a downtairs 1 BR unit with full kitchen in our home in Wallingford, 5 min walk to Burke Gillman trail, bus,Gasworks Park, SUP rental. Great restaurants, bars, yoga shops on Stone Way and 45th. Enjoy your own private apartment just steps from Gasworks Park, Lake Union and Burke Gillman Trail. Why We Love Our Home -Quaint, safe neighborhood -Walking distance to many bars, shops and restaurants in downtown Wallingford -It's close to Lake Union (Westward Restaurant, Burke Gilman bike path, Gasworks, Stand Up Paddle Rental) -Public transportation to downtown Seattle, Ballard, University District, etc This unit is a Mother-In-Law Suite in the basement of the house shown. It has it's own entry from the side of the house. We occasionally our apartment with backyard access, so please inquire if interested. The unit includes 1 Bedroom with Queen bed, Living Room with Queen Sleeper Sofa, Bathroom with shower, Kitchen with full size refrigerator, electric stove, toaster, coffee machine.",Apartment,Entire home/apt,85.00,
43,Beautiful Craftsman 3BR and 3BA,"Full furnished 3 bedroom, 3 bathroom home is conveniently located 1 mile from the Space Needle and 2 miles from Pikes Place market. The house features 1 bedroom with a king bed, 1 bedrooms with a queen bed, 1 bedroom with a crib (air mattress available), a large kitchen with a nook, a semi-separated dining room and a large living room with an L shaped couch. The fenced in front yard is perfect for your kids and the large deck with hammock, dining area and wood fired oven is great for entertaining. The house is 2,200 sq ft with plenty of living space. Rental includes use of towels, sheets and all other contents of the house. We have a hypoallergenic labradoodle that inhabits the house when not rented.",House,Entire home/apt,250.00,1900.00
29,Private Bed & Bath in Modern Home,"Private bedroom and connecting bath, new Seattle home (2005). Conveniently located at nexus of 3 of Seattle's best neighborhoods: Fremont, Wallingford, and Green Lake. FREE BUS PASS; internet; in-room TV, Tivo, Netflix, HBO, BluRay; and access to modern, shared kitchen. Convenient to 3 major bus lines. GAY FRIENDLY. Perfect location for exploring the city, visiting the University of Washington, relaxing at nearby parks (Green Lake, Gasworks, Woodland Park Zoo), or walking to some excellent eateries and coffee shops. Modern house, kitchen, and laundry facilities. Parking in driveway or on street. Very convenient to bus lines and one bus pass is included at no extra charge. Exclusive private use of bedroom and connecting bathroom. Shared use of adjacent office with guest computer. Downstairs space (kitchen, living room, 1/2 bath) will be available on a shared basis. The adjacent office also has a hide-a-bed for use by 2nd guest at no charge if sharing bed is not preferred.",House,Private room,70.00,450.00
30,Bungalow with private yard,"Sunny two bedroom, one bath bungalow with porch swing and private backyard located in desirable Wallingford neighborhood of Seattle. Walkable to many bars, restaurants, and parks. View of Lake Union from the street, walk to the water and relax! Bedroom One: Queen bed, sleeps two, clean sheets provided Bedroom Two: Queen air mattress, sleeps two, does not deflate, clean sheets provided Bathroom: Shower/Tub combo, clean towels provided. Shampoo, Conditioner, Soap, Toilet Paper all provided. Back room can used as additional bedroom with provided air mattress, however has limited privacy since one wall has slided glass doors to the back yard. Great for excess kids. This is for sole and private use of the entire house and surround yard. So much to do! Family friendly, tree-filled neighborhood in beautiful Wallingford. (website hidden) Grocery Store - QFC (.7 mile) walk, drive, or bike Walk to Burke-Gilman Trail (.2 mile) pedestrian path (walk/run/bike only).",House,Entire home/apt,215.00,1205.00
31,Greenlake 3BR bungalow,"Three bedrooms, 1 bath, chef's kitchen and wonderful front yard fenced porch and garden. Sleeps 5. 1 queen bed, 1 twin in back room, 1 twin in the front bedroom, 1 on the couch. Walk to Greenlake for playground, water activities, running trails. The space is open and filled with good light. This is a nonsmoking home including the grounds. No pets. All linens are high quality hypo allergenic. You will have free run of the house and the front yard. The backyard and garage will be closed for owners personal storage. We are around if you have questions but we prefer to respect your privacy. Location is amazing. Walk to Greenlake for running trail, playground, water activities or tennis. Tangletown restaurants 2 blocks. Famous Wallingford farmers market is 8 blocks away on Wednesdays. Fremont is about 1 mile. University of Washington is also about 1 mile away. Quick and easy bus downtown, Microsoft connector picks up on NE 56th in front of Tangletown Tavern.",House,Entire home/apt,249.00,
32,Hacker House 1FL 2P,"This listing is a lower bunk, in a 2-person shared room. *Note: This fall, there will be major renovations happening on one kitchen and bathroom at a time. There will always be two other working kitchens and two working bathrooms in the house. We'll work to minimize the impact these renovations have on your stay. **This listing is only available to those working in the tech/science space. Live in a hacker house, and immerse yourself in the Seattle tech scene. You can expect to be surrounded by smart people solving big problems or working on something fun. We have frequent demo nights, and love when our guests share something they are passionate about. If you're new to the city, our deep ties to the Seattle tech scene can help you get involved.",House,Shared room,40.00,250.00
33,Funky lake home with foosball!,"Beautiful, comfy Craftsman home, where old-world charm meets modern comfort. Four queen beds with lovely sheets and duvets. Big kitchen with breakfast nook. Huge deck with grill. Keyless entry, fast wifi, on-demand cable, Apple TV, and foosball! Welcome to Tangletown! The house has four bedrooms, each with a queen bed and crisp cotton sheets. We think a good sleep is one of the most important parts of your stay, so you'll enjoy high-quality mattresses, with down-and-feather pillows and duvets. When you wake up and take a shower, you'll find Egyptian cotton towels in the bathrooms. If you like to cook, there's a funky, fully-equipped kitchen with stainless steel appliances, including a dishwasher. There's also a cute breakfast nook where you can enjoy your coffee with the morning sun. If the weather's good, step out onto the large back deck for a view of the yard, or to do some grilling on the barbecue. When you're ready to kick back, the living room has comfy leather couches and a TV.",House,Entire home/apt,245.00,
34,Retro 1BR Greenlake Apt,"Retro Greenlake Apt. is a one bedroom w/ queen bed & sleeper sofa downsstairs. The apt. is part of a craftsman home in the heart of Greenlake. Near restaurants, coffee shops, & 1/2 block from bus line downtown. This retro-style Greenlake Apartment is a one bedroom with a queen-sized bed and sleeper sofa downstairs, sleeping a total of 3 guests. The apartment is part of a craftsman home in the heart of Greenlake. A small kitchenette has a microwave, small ref., coffee maker, and dishes and silverware. A small deck with a table for 2 is great for getting a breath of fresh air and sipping on your tea. This fantastic location puts you close to everything Seattle. There are plenty of restaurants in the area, including the Greenlake Bar & Grill, Fix Coffeehouse, Zoeyogurt, Rosita's Mexican Grill, Lucia's Italian and many more around the lake. Little Red Hen, a bar which is just 15 minutes away on foot, has live country music shows regularly. You can also walk to East Green Lake Beach.",Apartment,Entire home/apt,95.00,
35,Quiet Room in house,"Quiet street near the lake, coffeeshops, restaurants, bars, transit, I-5, UW. Large room with east facing windows to tree lined back yard. One of the quietest areas of Seattle but close to almost everything. Hardwood floors. Week/month discounts. This is for the larger upstairs room at our house. You can click on my main profile to see all the various positive reviews for the house overall which may be more recent. We discount the rates a lot for weekly or monthly stays. ~~~~~~~~~~ Quiet updated craftsmen house in the beautiful Wallingford / Greenlake neighborhood. Great walking score, one of the best areas to stay in a restful, quiet neighborhood near the lake. Few blocks to best coffeeshops like Zoka, the lake for walking, swimming or biking (3+ mile trail), Woodland Park Zoo, and 1 short block to main bus line to get downtown.",House,Private room,55.00,370.00
36,Stylish 1BR Apt,"Located in Seattle's eclectic Wallingford neighborhood. City view streets and just blocks away from Lake Union, the Burke Gilman Trail, coffee shops, restaurants, bars, and shopping. Easy transit access to downtown and the UW. This is a spacious, well-lit mother-in-law apartment in the basement level of our Seattle home. All new furniture and decor. Our Wallingford neighborhood location provides walking to nearby grocery, renowned restaurants (including Westward, the award winning waterfront restaurant two blocks away), great bars, two funky movie theaters, the classic Dick's Drive-In, coffee shops, city views, quiet, tree-lined streets, with lovely homes and gardens. The apartment has a separate entrance along the side of the house, a well-equipped kitchen, full bath, full-size appliances, washer and dryer, WIFI, a 65' Ultra HD TV with AppleTV which includes Netflix, HULU, HBO Now and some local network TV using an HD antennae. The bedroom has a queen-sized bed.",House,Entire home/apt,99.00,800.00
37,City Bedroom and Den,"You'll have the entire downstairs of this lovely 1920's Craftsman home located two blocks north of Lake Union and walking distance to University of Washington. Local bus into the city and neighborhood coffee shop are within 2 blocks of my home. Proximity to Lake Union, University of Washington and downtown Seattle. Queen size bed in bedroom. Double futon available to sleep two in Den ($10/night extra). Two night minimum stay. Entire downstairs cozy space. Hostess available and present during guest stay. Welcome opportunity to Seattle highlights and assist with travel arrangements. I love the proximity to the city, downtown area, and easy accessibility to freeway and alternate routes to the city. Public transportation is readily available within a few blocks. Small bathroom with shower across hall from bedroom. Free parking on premises. Coffee, tea and snacks are available in den.",House,Private room,65.00,450.00
